,Наименование,Год,Регистрационный номер,"Возраст компании, лет",Дата ликвидации,Вид деятельности/отрасль,Форма собственности,Важная информация,"Коэффициент быстрой ликвидности, %","Коэффициент обеспеченности собственными оборотными средствами, %","Коэффициент оборачиваемости совокупных активов, %","Коэффициент текущей ликвидности, %","Оборачиваемость дебиторской задолженности, разы","Оборачиваемость кредиторской задолженности, разы","Рентабельность активов (ROA), %","Рентабельность капитала (ROE), %","Рентабельность продаж, %","Соотношение совокупного долга к капиталу, %",next_year_liqudation
16186,"ЭЛЕКТРОПРОМ ДВ, ООО",2015,1132721002105.0,12.0,2018,Производство электромонтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (22.11.2018).,0.7284,0.0622,1.5022,1.9332,4.9,3.6,0.0035,0.046,0.002,6.89,0
16187,"ЭЛЕКТРОПРОМ ДВ, ООО",2016,1132721002105.0,12.0,2018,Производство электромонтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (22.11.2018).,0.7689,-0.0105,0.9412,1.5119,3.2,1.6,-0.0669,-3.0302,-0.0657,-34.367,0
16188,"ЭЛЕКТРОПРОМ ДВ, ООО",2017,1132721002105.0,12.0,2018,Производство электромонтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (22.11.2018).,0.7189,-0.0181,0.0765,1.4902,0.4,0.1,-0.0079,0.5611,-0.0187,-19.3394,1
908,"АНТАРЕС, ООО",2015,1132724007426.0,12.0,2018,Торговля оптовая пищевыми маслами и жирами,16 - Частная собственность,Ликвидировано вследствие банкротства (16.11.2018).,0.6884,0.0082,7.318,1.0083,10.1,7.4,0.0092,1.49,0.0018,0.0,0
909,"АНТАРЕС, ООО",2016,1132724007426.0,12.0,2018,Торговля оптовая пищевыми маслами и жирами,16 - Частная собственность,Ликвидировано вследствие банкротства (16.11.2018).,0.6227,0.0126,5.4846,1.0127,8.6,5.5,0.0092,0.8439,0.0034,0.0,0
910,"АНТАРЕС, ООО",2017,1132724007426.0,12.0,2018,Торговля оптовая пищевыми маслами и жирами,16 - Частная собственность,Ликвидировано вследствие банкротства (16.11.2018).,9.9062,0.8991,5.3247,9.9062,8.9,5.5,0.0058,0.1993,-0.0037,0.0,1
4241,"ЖКХ-РЕСУРС-РАЙЧИХИНСКИЙ, ООО",2015,1132813000231.0,12.0,2018,Производство пара и горячей воды (тепловой энергии),16 - Частная собственность,Ликвидировано вследствие банкротства (15.06.2018).,0.2628,-2.0437,2.287,0.3286,4.2,1.2,-0.6914,0.7209,-0.3368,-0.0015,0
4242,"ЖКХ-РЕСУРС-РАЙЧИХИНСКИЙ, ООО",2016,1132813000231.0,12.0,2018,Производство пара и горячей воды (тепловой энергии),16 - Частная собственность,Ликвидировано вследствие банкротства (15.06.2018).,0.1391,-5.362,1.4992,0.1572,4.5,0.6,-0.5306,0.3272,-0.4026,-0.0012,0
4243,"ЖКХ-РЕСУРС-РАЙЧИХИНСКИЙ, ООО",2017,1132813000231.0,12.0,2018,Производство пара и горячей воды (тепловой энергии),16 - Частная собственность,Ликвидировано вследствие банкротства (15.06.2018).,0.4073,-1.3822,0.0,0.4196,0.0,0.0,-0.0146,0.0115,,-0.0011,1
4089,"ЖЕЛЕЗОБЕТОН-4, ООО",2015,1134205025228.0,11.0,2018,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,16 - Частная собственность,Ликвидировано вследствие банкротства (29.08.2018).,0.649,-0.262,1.6564,0.7924,82.1,4.1,-0.2251,-0.8731,-0.1068,2.085,0
4090,"ЖЕЛЕЗОБЕТОН-4, ООО",2016,1134205025228.0,11.0,2018,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,16 - Частная собственность,Ликвидировано вследствие банкротства (29.08.2018).,0.0019,-0.198,0.045,1.643,0.2,0.1,,,-5.7436,2.1728,0
4091,"ЖЕЛЕЗОБЕТОН-4, ООО",2017,1134205025228.0,11.0,2018,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,16 - Частная собственность,Ликвидировано вследствие банкротства (29.08.2018).,0.0023,-4.5418,0.0,0.1804,0.0,0.0,,,,0.0,1
15029,"ФАБРИКА МЕБЕЛИ ШЕРВУД, ООО",2015,1136174001512.0,12.0,2018,"Торговля оптовая мебелью, коврами и осветительным оборудованием",16 - Частная собственность,Ликвидировано вследствие банкротства (16.11.2018).,0.4686,-0.0316,1.3589,1.2888,11.2,2.0,0.0031,0.1166,0.0335,10.7833,0
15030,"ФАБРИКА МЕБЕЛИ ШЕРВУД, ООО",2016,1136174001512.0,12.0,2018,"Торговля оптовая мебелью, коврами и осветительным оборудованием",16 - Частная собственность,Ликвидировано вследствие банкротства (16.11.2018).,0.25,-6.4289,0.4651,0.2715,5.0,0.6,-0.3657,1.5484,-0.7613,-1.0386,0
15031,"ФАБРИКА МЕБЕЛИ ШЕРВУД, ООО",2017,1136174001512.0,12.0,2018,"Торговля оптовая мебелью, коврами и осветительным оборудованием",16 - Частная собственность,Ликвидировано вследствие банкротства (16.11.2018).,0.0305,-27.7824,0.0,0.0349,0.0,0.0,,,,-0.7911,1
10447,"РСП, ООО",2015,1136908001207.0,11.0,2018,Производство прочих строительно-монтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (19.11.2018).,2.3388,-0.0463,0.185,2.5269,8.7,16.1,-0.0892,1.861,-0.192,-22.352,0
10448,"РСП, ООО",2016,1136908001207.0,11.0,2018,Производство прочих строительно-монтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (19.11.2018).,0.2632,-2.7988,4.9857,0.2632,9.3,3.0,-3.0349,1.9465,-0.5863,-0.2652,0
10449,"РСП, ООО",2017,1136908001207.0,11.0,2018,Производство прочих строительно-монтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (19.11.2018).,0.4102,-1.4157,0.0,0.414,0.0,0.0,-0.2439,0.1551,,-0.4612,1
2992,"ГК ТРИУМФ, ООО",2015,1137746480662.0,12.0,2018,Торговля оптовая напитками,16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2018).,0.6394,0.039,2.1844,1.0405,4.3,3.3,0.0127,0.3221,0.0383,6.3122,0
2993,"ГК ТРИУМФ, ООО",2016,1137746480662.0,12.0,2018,Торговля оптовая напитками,16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2018).,0.5495,-0.82,0.3116,0.5495,0.5,0.3,-0.3235,1.2549,-1.0284,-0.5687,0
2994,"ГК ТРИУМФ, ООО",2017,1137746480662.0,12.0,2018,Торговля оптовая напитками,16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2018).,0.5453,-0.834,0.0,0.5453,0.0,0.0,,,,-0.5635,1
7534,"МЭС, ООО",2015,1137746512749.0,12.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (19.04.2018).,0.8998,0.0155,0.5157,1.0157,0.6,0.5,0.0027,0.1273,0.0098,0.0,0
7536,"МЭС, ООО",2016,1137746512749.0,12.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (19.04.2018).,1.038,0.0853,0.1543,1.0932,0.2,0.2,-0.0283,-1.3189,0.0132,0.0,0
7538,"МЭС, ООО",2017,1137746512749.0,12.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (19.04.2018).,,,0.0,,0.0,0.0,-0.3184,-15.5564,,0.0,1
13027,"СФ ОСНОВА, ООО",2015,1137847205242.0,12.0,2018,Строительство электростанций,16 - Частная собственность,Ликвидировано вследствие банкротства (09.06.2018).,0.0934,0.0093,1.243,1.0098,5.3,1.6,0.0008,0.0451,0.0463,9.4292,0
13028,"СФ ОСНОВА, ООО",2016,1137847205242.0,12.0,2018,Строительство электростанций,16 - Частная собственность,Ликвидировано вследствие банкротства (09.06.2018).,0.0243,-40.144,1.6635,0.0243,18.1,1.2,-1.2163,2.1287,-0.3257,-0.0502,0
13029,"СФ ОСНОВА, ООО",2017,1137847205242.0,12.0,2018,Строительство электростанций,16 - Частная собственность,Ликвидировано вследствие банкротства (09.06.2018).,0.0141,-69.7328,0.0,0.0141,0.0,0.0,-0.3184,0.0076,,-0.0491,1
121,"АВЕКС-ГРУПП, ООО",2015,1141650010391.0,11.0,2018,"Деятельность вспомогательная прочая, связанная с перевозками",16 - Частная собственность,Ликвидировано вследствие банкротства (18.09.2018).,1.053,0.058,7.9309,1.0616,8.0,10.6,-0.4099,-1.6155,-0.0281,0.0,0
122,"АВЕКС-ГРУПП, ООО",2016,1141650010391.0,11.0,2018,"Деятельность вспомогательная прочая, связанная с перевозками",16 - Частная собственность,Ликвидировано вследствие банкротства (18.09.2018).,0.6372,0.0081,6.0809,1.0082,9.5,6.1,0.0139,1.5377,0.0064,0.0,0
123,"АВЕКС-ГРУПП, ООО",2017,1141650010391.0,11.0,2018,"Деятельность вспомогательная прочая, связанная с перевозками",16 - Частная собственность,Ликвидировано вследствие банкротства (18.09.2018).,0.354,-1.3472,21.7456,0.426,33.6,19.8,-0.2289,2.3002,-0.0032,0.0,1
4751,"ИЗМИНСКИЙ МОЛОЧНЫЙ КОМПЛЕКС, ООО",2015,1141675001390.0,11.0,2018,Смешанное сельское хозяйство,16 - Частная собственность,Ликвидировано вследствие банкротства (24.12.2018).,0.134,-0.303,1.7269,0.7675,30.5,2.1,0.2366,1.6189,0.0874,0.059,0
4752,"ИЗМИНСКИЙ МОЛОЧНЫЙ КОМПЛЕКС, ООО",2016,1141675001390.0,11.0,2018,Смешанное сельское хозяйство,16 - Частная собственность,Ликвидировано вследствие банкротства (24.12.2018).,0.2942,-1.9867,1.4881,0.3348,7.9,1.4,-0.8614,6.0688,-0.3589,-0.1101,0
4753,"ИЗМИНСКИЙ МОЛОЧНЫЙ КОМПЛЕКС, ООО",2017,1141675001390.0,11.0,2018,Смешанное сельское хозяйство,16 - Частная собственность,Ликвидировано вследствие банкротства (24.12.2018).,0.0984,-9.1589,0.0,0.0984,0.0,0.0,-1.1742,0.3223,,-0.0795,1
7015,"МЕРКУРИЙ, ООО",2015,1141690044033.0,11.0,2018,Торговля оптовая металлами в первичных формах,16 - Частная собственность,Ликвидировано вследствие банкротства (25.10.2018).,0.2892,0.0183,6.4713,1.0186,84.7,7.9,0.0183,1.305,0.0066,6.941,0
7016,"МЕРКУРИЙ, ООО",2016,1141690044033.0,11.0,2018,Торговля оптовая металлами в первичных формах,16 - Частная собственность,Ликвидировано вследствие банкротства (25.10.2018).,0.2054,0.0141,3.5616,1.0143,36.7,7.4,0.0115,0.7561,0.0265,36.4111,0
7017,"МЕРКУРИЙ, ООО",2017,1141690044033.0,11.0,2018,Торговля оптовая металлами в первичных формах,16 - Частная собственность,Ликвидировано вследствие банкротства (25.10.2018).,0.9236,-0.0797,1.7325,0.9262,4.5,6.5,0.0056,-0.3444,0.012,-13.438,1
14997,"УЭС, ООО",2015,1142448000353.0,11.0,2018,Производство пара и горячей воды (тепловой энергии),16 - Частная собственность,Ликвидировано вследствие банкротства (13.08.2018).,0.3764,-1.1703,4.3158,0.4702,13.5,8.0,-0.0858,-3.0268,-0.0094,13.2899,0
14998,"УЭС, ООО",2016,1142448000353.0,11.0,2018,Производство пара и горячей воды (тепловой энергии),16 - Частная собственность,Ликвидировано вследствие банкротства (13.08.2018).,0.424,-0.9044,2.2147,0.5287,7.0,4.7,-0.0014,-0.0548,-0.0081,22.7496,0
14999,"УЭС, ООО",2017,1142448000353.0,11.0,2018,Производство пара и горячей воды (тепловой энергии),16 - Частная собственность,Ликвидировано вследствие банкротства (13.08.2018).,0.038,-25.2803,0.0046,0.038,0.0,0.0,-0.1465,5.2129,-5.7209,0.0,1
10520,"РУДО-ЛАКИНСКИЙ ПИВЗАВОД, ООО",2015,1143327005480.0,11.0,2018,Производство пива,16 - Частная собственность,Ликвидировано вследствие банкротства (29.10.2018).,0.587,-0.3824,0.338,0.7447,0.8,0.4,0.0033,0.0423,0.0539,0.3339,0
10521,"РУДО-ЛАКИНСКИЙ ПИВЗАВОД, ООО",2016,1143327005480.0,11.0,2018,Производство пива,16 - Частная собственность,Ликвидировано вследствие банкротства (29.10.2018).,0.7073,-0.2009,1.5744,0.9903,3.6,2.1,0.1275,0.8842,0.1313,0.7479,0
10522,"РУДО-ЛАКИНСКИЙ ПИВЗАВОД, ООО",2017,1143327005480.0,11.0,2018,Производство пива,16 - Частная собственность,Ликвидировано вследствие банкротства (29.10.2018).,0.7141,-0.5608,0.9006,0.7141,1.5,1.0,-0.6978,7.7194,0.0241,-0.3989,1
2908,"ГЕРМЕС БЕЛОВО, ООО",2015,1144202000128.0,11.0,2018,Деятельность агентств по подбору персонала,16 - Частная собственность,Ликвидировано вследствие банкротства (25.09.2018).,1.0388,0.0397,2.7361,1.0413,2.8,6.5,,,,9.684,0
2909,"ГЕРМЕС БЕЛОВО, ООО",2016,1144202000128.0,11.0,2018,Деятельность агентств по подбору персонала,16 - Частная собственность,Ликвидировано вследствие банкротства (25.09.2018).,0.577,-0.2051,1.6677,0.8298,2.2,2.4,-0.3157,2.3352,0.0053,-2.3228,0
2910,"ГЕРМЕС БЕЛОВО, ООО",2017,1144202000128.0,11.0,2018,Деятельность агентств по подбору персонала,16 - Частная собственность,Ликвидировано вследствие банкротства (25.09.2018).,0.2076,-3.7883,0.0,0.2088,0.0,0.0,-0.48,0.7941,,-0.6753,1
16394,"ЭНЕРГОСЕРВИС, ООО",2015,1144827010602.0,29.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (05.09.2018).,0.9193,0.178,0.2696,1.2165,0.4,0.3,0.0017,0.008,0.0167,0.0,0
16397,"ЭНЕРГОСЕРВИС, ООО",2016,1144827010602.0,29.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (05.09.2018).,1.0212,0.0521,0.7607,1.0549,0.9,0.9,-0.2418,-1.5462,0.0067,0.0,0
16400,"ЭНЕРГОСЕРВИС, ООО",2017,1144827010602.0,29.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (05.09.2018).,0.8727,-0.1458,0.0689,0.8727,0.1,0.1,-0.1894,4.9944,-2.7424,0.0,1
13747,"ТК НИЖЛЕС, ООО",2015,1145256001978.0,11.0,2018,Торговля оптовая древесным сырьем и необработанными лесоматериалами,16 - Частная собственность,Ликвидировано вследствие банкротства (09.10.2018).,15.9158,0.0347,8.2936,15.9158,8.5,23.8,0.0147,0.8818,0.0059,21.2621,0
13748,"ТК НИЖЛЕС, ООО",2016,1145256001978.0,11.0,2018,Торговля оптовая древесным сырьем и необработанными лесоматериалами,16 - Частная собственность,Ликвидировано вследствие банкротства (09.10.2018).,2.6403,0.0505,7.1778,2.6403,7.4,36.4,0.0333,0.6883,0.0103,10.4777,0
13749,"ТК НИЖЛЕС, ООО",2017,1145256001978.0,11.0,2018,Торговля оптовая древесным сырьем и необработанными лесоматериалами,16 - Частная собственность,Ликвидировано вследствие банкротства (09.10.2018).,0.5852,-0.707,5.3408,0.5852,8.3,13.0,-0.0867,-3.0247,0.0007,0.0,1
13124,"ТАЙФУН НИЖНИЙ НОВГОРОД, ООО",2015,1145260000544.0,11.0,2018,"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",16 - Частная собственность,Ликвидировано вследствие банкротства (11.10.2018).,0.6112,-0.0146,2.4329,0.9856,6.1,3.9,0.007,0.7954,0.0124,37.7155,0
13125,"ТАЙФУН НИЖНИЙ НОВГОРОД, ООО",2016,1145260000544.0,11.0,2018,"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",16 - Частная собственность,Ликвидировано вследствие банкротства (11.10.2018).,0.501,-0.0072,1.2645,0.9928,2.9,1.7,0.0038,0.3381,0.0122,8.4403,0
13126,"ТАЙФУН НИЖНИЙ НОВГОРОД, ООО",2017,1145260000544.0,11.0,2018,"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",16 - Частная собственность,Ликвидировано вследствие банкротства (11.10.2018).,0.4778,-0.0047,0.1394,0.9954,0.3,0.1,0.0004,0.0303,0.0604,0.0,1
7387,"МОСТОТРЯД-11, ООО",2015,1151101004163.0,10.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (14.11.2018).,1.1334,0.1177,4.7213,1.1334,4.7,5.4,0.2564,2.1783,0.0565,0.0,0
7388,"МОСТОТРЯД-11, ООО",2016,1151101004163.0,10.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (14.11.2018).,0.816,-0.198,7.0086,0.8345,7.1,6.6,-0.3256,5.4602,-0.0496,0.0,0
7389,"МОСТОТРЯД-11, ООО",2017,1151101004163.0,10.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (14.11.2018).,0.1571,-5.3639,0.0,0.1571,0.0,0.0,,,,0.0,1
10457,"РСУ, ООО",2015,1151101006231.0,10.0,2018,Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе,16 - Частная собственность,Ликвидировано вследствие банкротства (17.05.2018).,0.0021,-6.3537,5.5448,0.136,2198.5,0.8,-12.7201,2.002,-2.2368,-0.0262,0
10458,"РСУ, ООО",2016,1151101006231.0,10.0,2018,Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе,16 - Частная собственность,Ликвидировано вследствие банкротства (17.05.2018).,0.024,-40.7355,5.0467,0.024,20.8,0.3,-10.9816,0.732,-2.1734,-0.0013,0
10459,"РСУ, ООО",2017,1151101006231.0,10.0,2018,Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе,16 - Частная собственность,Ликвидировано вследствие банкротства (17.05.2018).,,,0.9681,,1.0,0.0,-0.9568,0.0117,0.3837,-0.0013,1
13677,"ТЕХТЕКСТИЛЬ, ООО",2015,1153327003763.0,17.0,2018,Производство хлопчатобумажных тканей,16 - Частная собственность,Ликвидировано вследствие банкротства (02.07.2018).,0.2667,0.0316,2.4006,1.0359,76.3,2.8,0.0176,0.3337,0.0533,1.6341,0
13678,"ТЕХТЕКСТИЛЬ, ООО",2016,1153327003763.0,17.0,2018,Производство хлопчатобумажных тканей,16 - Частная собственность,Ликвидировано вследствие банкротства (02.07.2018).,0.2131,0.0164,1.248,1.0169,14.5,1.3,0.0001,0.0046,-0.0595,0.2759,0
13679,"ТЕХТЕКСТИЛЬ, ООО",2017,1153327003763.0,17.0,2018,Производство хлопчатобумажных тканей,16 - Частная собственность,Ликвидировано вследствие банкротства (02.07.2018).,0.0854,-0.02,0.2378,0.9805,3.6,0.2,-0.0361,-41.0705,-0.1566,-0.3045,1
14546,"УК ЖХ, ООО",2015,1153456000158.0,10.0,2018,Управление недвижимым имуществом за вознаграждение или на договорной основе,16 - Частная собственность,Ликвидировано вследствие банкротства (07.09.2018).,12.5283,0.9279,4.1469,13.8698,4.7,57.8,1.7341,1.8682,0.4677,0.0,0
14547,"УК ЖХ, ООО",2016,1153456000158.0,10.0,2018,Управление недвижимым имуществом за вознаграждение или на договорной основе,16 - Частная собственность,Ликвидировано вследствие банкротства (07.09.2018).,1.7789,0.4749,1.7733,1.9042,2.0,5.4,-0.1158,-0.1732,0.192,0.0,0
14548,"УК ЖХ, ООО",2017,1153456000158.0,10.0,2018,Управление недвижимым имуществом за вознаграждение или на договорной основе,16 - Частная собственность,Ликвидировано вследствие банкротства (07.09.2018).,0.7274,-0.3747,0.5125,0.7274,0.5,0.7,-0.1623,-0.5545,0.5972,0.0,1
12196,"СПК, ООО",2015,1155190004133.0,10.0,2018,Производство гранул и порошков из природного камня,16 - Частная собственность,Ликвидировано вследствие банкротства (26.11.2018).,0.9616,,7.4284,1.0,7.7,7.4,-0.2288,,-0.0063,,0
12197,"СПК, ООО",2016,1155190004133.0,10.0,2018,Производство гранул и порошков из природного камня,16 - Частная собственность,Ликвидировано вследствие банкротства (26.11.2018).,1.1852,0.1677,3.2441,1.2014,3.3,3.6,0.2774,3.163,0.0906,0.0,0
12198,"СПК, ООО",2017,1155190004133.0,10.0,2018,Производство гранул и порошков из природного камня,16 - Частная собственность,Ликвидировано вследствие банкротства (26.11.2018).,1.0806,0.0774,1.8473,1.091,1.9,2.1,0.1355,1.1918,0.0842,0.0,1
11766,"СМЗ, ООО",2015,1155658024158.0,10.0,2018,Производство гидравлических и пневматических силовых установок и двигателей,16 - Частная собственность,Ликвидировано вследствие банкротства (05.10.2018).,0.7265,-0.0111,4.077,0.989,5.6,4.0,-0.0243,2.1887,-0.0027,0.0,0
11767,"СМЗ, ООО",2016,1155658024158.0,10.0,2018,Производство гидравлических и пневматических силовых установок и двигателей,16 - Частная собственность,Ликвидировано вследствие банкротства (05.10.2018).,0.3122,-0.4785,5.9681,0.6764,10.6,4.6,-0.5846,1.9417,-0.0847,0.0,0
11768,"СМЗ, ООО",2017,1155658024158.0,10.0,2018,Производство гидравлических и пневматических силовых установок и двигателей,16 - Частная собственность,Ликвидировано вследствие банкротства (05.10.2018).,0.0185,-53.0705,3.9115,0.0185,8.2,1.2,-2.5271,1.1542,-0.5918,0.0,1
1218,"АТС, ООО",2015,1157847423568.0,31.0,2018,"Деятельность вспомогательная прочая, связанная с перевозками",16 - Частная собственность,Ликвидировано вследствие банкротства (07.12.2018).,14.6205,0.9322,0.2872,14.7494,0.3,1.9,-0.1327,-0.1563,-0.0404,0.0,0
1219,"АТС, ООО",2016,1157847423568.0,31.0,2018,"Деятельность вспомогательная прочая, связанная с перевозками",16 - Частная собственность,Ликвидировано вследствие банкротства (07.12.2018).,0.0954,-9.4915,0.1429,0.0954,0.1,0.0,-8.749,2.5577,-0.1016,-0.0024,0
1220,"АТС, ООО",2017,1157847423568.0,31.0,2018,"Деятельность вспомогательная прочая, связанная с перевозками",16 - Частная собственность,Ликвидировано вследствие банкротства (07.12.2018).,0.0017,-603.7273,0.0785,0.0017,0.1,0.0,-22.2818,0.7566,-2.3778,-0.0011,1
8726,"ПЕРСОНАЛ СЕРВИС, ООО",2015,5137746246578.0,11.0,2018,Деятельность рекламных агентств,16 - Частная собственность,Ликвидировано вследствие банкротства (06.08.2018).,1.0176,0.0238,4.46,1.0244,5.7,5.1,0.0124,0.6848,0.0183,0.0547,0
8727,"ПЕРСОНАЛ СЕРВИС, ООО",2016,5137746246578.0,11.0,2018,Деятельность рекламных агентств,16 - Частная собственность,Ликвидировано вследствие банкротства (06.08.2018).,0.0093,-106.2588,0.0324,0.0093,0.0,0.0,-1.4361,2.1447,-0.692,-0.0005,0
8728,"ПЕРСОНАЛ СЕРВИС, ООО",2017,5137746246578.0,11.0,2018,Деятельность рекламных агентств,16 - Частная собственность,Ликвидировано вследствие банкротства (06.08.2018).,0.0069,-143.4904,0.0,0.0069,0.0,0.0,-1.9435,0.0159,,0.0,1
10859,"САТ, ООО",2015,1021000510684.0,24.0,2019,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,16 - Частная собственность,Ликвидировано вследствие банкротства (07.06.2019).,3.253,-2.6125,0.0759,3.253,0.5,2.3,-0.1059,0.8221,0.1514,-6.2757,0
10860,"САТ, ООО",2016,1021000510684.0,24.0,2019,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,16 - Частная собственность,Ликвидировано вследствие банкротства (07.06.2019).,2.5992,-3.2713,0.0176,2.5992,0.1,0.4,-0.1906,0.6487,-1.2194,-3.194,0
10861,"САТ, ООО",2017,1021000510684.0,24.0,2019,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,16 - Частная собственность,Ликвидировано вследствие банкротства (07.06.2019).,0.2004,-44.9379,0.0106,0.2004,0.1,0.1,-0.8855,0.6976,-2.1259,-0.9923,0
10862,"САТ, ООО",2018,1021000510684.0,24.0,2019,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,16 - Частная собственность,Ликвидировано вследствие банкротства (07.06.2019).,0.0003,-6425.9925,,0.0003,,,-38.3299,0.59,,-0.8414,1
9058,"ПОЛИГРАФ-ПРЕСС, ООО",2015,1021200751747.0,28.0,2019,Прочие виды полиграфической деятельности,16 - Частная собственность,Ликвидировано вследствие банкротства (16.09.2019).,0.5881,-5.2317,0.4996,0.7234,3.4,5.0,-0.1367,0.5668,-0.1421,-3.9401,0
9059,"ПОЛИГРАФ-ПРЕСС, ООО",2016,1021200751747.0,28.0,2019,Прочие виды полиграфической деятельности,16 - Частная собственность,Ликвидировано вследствие банкротства (16.09.2019).,0.0495,-14.2522,0.4161,0.0656,3.6,5.4,-0.3817,0.6983,-0.3238,-2.0658,0
9060,"ПОЛИГРАФ-ПРЕСС, ООО",2017,1021200751747.0,28.0,2019,Прочие виды полиграфической деятельности,16 - Частная собственность,Ликвидировано вследствие банкротства (16.09.2019).,0.0459,-20.7657,0.2029,0.0459,2.0,2.4,-0.7747,0.4289,-1.1768,-1.1346,0
9061,"ПОЛИГРАФ-ПРЕСС, ООО",2018,1021200751747.0,28.0,2019,Прочие виды полиграфической деятельности,16 - Частная собственность,Ликвидировано вследствие банкротства (16.09.2019).,0.037,-26.013,,0.037,,,-0.1027,0.0143,,-1.1169,1
6771,"МАВР, ООО АПК",2015,1021900527659.0,33.0,2019,"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса",16 - Частная собственность,Ликвидировано вследствие банкротства (25.12.2019).,0.9797,-1.0448,0.3846,1.1177,0.9,2.2,-0.0704,-1.0832,-0.1033,25.9092,0
6772,"МАВР, ООО АПК",2016,1021900527659.0,33.0,2019,"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса",16 - Частная собственность,Ликвидировано вследствие банкротства (25.12.2019).,0.9802,-1.1448,0.0646,1.0259,0.1,0.3,-0.0491,-8.0673,-0.7255,-42.886,0
6773,"МАВР, ООО АПК",2017,1021900527659.0,33.0,2019,"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса",16 - Частная собственность,Ликвидировано вследствие банкротства (25.12.2019).,0.9081,-1.3396,0.0078,0.9242,0.0,0.0,-0.1628,1.6156,-2.2462,-4.7521,0
6774,"МАВР, ООО АПК",2018,1021900527659.0,33.0,2019,"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса",16 - Частная собственность,Ликвидировано вследствие банкротства (25.12.2019).,0.1678,-11.2798,0.0001,0.1704,,,-0.9223,1.104,-269.6019,-1.024,1
14855,"УПРАВЛЯЮЩАЯ КОМПАНИЯ САЯНСТРОЙ, ООО",2015,1021900673739.0,22.0,2019,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (31.10.2019).,0.5071,-0.0832,0.0781,0.7309,0.2,0.1,-0.1037,8.5186,-1.351,0.0,0
14856,"УПРАВЛЯЮЩАЯ КОМПАНИЯ САЯНСТРОЙ, ООО",2016,1021900673739.0,22.0,2019,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (31.10.2019).,0.3023,-0.8836,0.0751,0.5309,0.3,0.1,-0.1661,0.3854,-0.0109,0.0,0
14857,"УПРАВЛЯЮЩАЯ КОМПАНИЯ САЯНСТРОЙ, ООО",2017,1021900673739.0,22.0,2019,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (31.10.2019).,0.2951,-0.9479,0.0188,0.5134,3.0,0.0,-0.115,0.1315,,0.0,0
14858,"УПРАВЛЯЮЩАЯ КОМПАНИЯ САЯНСТРОЙ, ООО",2018,1021900673739.0,22.0,2019,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (31.10.2019).,0.0645,-7.2207,0.0994,0.1216,0.9,,-1.3519,0.6361,-13.5948,,1
