№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
504;1096316009460;17.11.2009;15;11.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;19;;;;Ликвидировано вследствие банкротства (11.08.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";13 390 000;34 896 000;0;;;14 885 000;8 979 000;;;;25 028 000;15 468 000;10 867 000;;;13 390 000;30 721 000;;;;
505;1195081025193;10.04.2019;6;27.05.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;40;15;;;;Ликвидировано (27.05.2022).;;616 542 000;358 095 000;;;;162 035 000;11 390 000;;;;153 465 000;275 000;;;;616 217 000;356 446 000;;;;
506;1207000011900;27.10.2020;4;13.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;14;26;24;25;Прекратило деятельность при присоединении (13.01.2025).;;;148 344 000;173 173 000;153 767 000;;;21 634 000;14 358 000;15 310 000;;;21 550 000;16 994 000;16 514 000;;;147 365 000;172 206 000;153 538 000;;
507;1202600003814;17.03.2020;5;13.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;23;28;18;3;;Ликвидировано (13.06.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";7 515 000;5 284 000;1 735 000;43 000;0;2 648 000;1 936 000;5 458 000;146 000;;6 776 000;17 042 000;24 630 000;2 465 000;;7 515 000;3 942 000;554 000;;;
508;1191690103846;20.12.2019;5;10.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;36;34;24;7;2;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (10.04.2025).;;14 942 000;23 299 000;35 163 000;1 963 000;;10 785 000;13 952 000;7 938 000;;;10 828 000;13 957 000;7 914 000;137 000;;14 904 000;23 242 000;35 163 000;1 963 000;;
509;1132034000537;18.10.2013;11;27.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;19;18;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (27.03.2024).;;24 776 000;24 719 000;24 532 000;;;13 662 000;16 711 000;19 376 000;;;2 430 000;193 000;622 000;;;24 776 000;24 719 000;24 531 000;;;
510;1165958104498;14.09.2016;9;15.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;27;24;15;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (15.12.2023).;;147 774 000;155 836 000;;;;16 053 000;15 259 000;;;;3 073 000;1 906 000;;;;147 774 000;155 836 000;;;;
511;1146453004818;24.10.2014;10;16.08.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;74;92;;;;Прекратило деятельность при присоединении (16.08.2022).;;94 441 000;120 284 000;;;;50 022 000;86 930 000;;;;17 063 000;5 393 000;;;;94 440 000;116 158 000;;;;
512;1161447062094;15.09.2016;9;27.02.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;17;11;;;Ликвидировано (27.02.2023).;;29 316 000;51 749 000;;;;4 609 000;7 352 000;;;;369 000;690 000;;;;29 316 000;51 749 000;;;;
513;1136315003406;05.06.2013;12;30.01.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;46;28;23;5;;Прекратило деятельность при присоединении (30.01.2024).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";354 661 000;199 765 000;168 616 000;;;31 522 000;32 679 000;34 062 000;;;119 420 000;118 208 000;117 047 000;;;350 299 000;199 663 000;168 502 000;;;
514;1111903000549;16.06.2011;14;14.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;90;75;62;55;35;Прекратило деятельность при присоединении (14.04.2025).;"""Перечень работодателей, деятельность которых отнесена к категории высокого риска"", ""Реестр перевозчиков зерна""";102 645 000;88 378 000;129 616 000;105 187 000;208 105 000;333 724 000;364 489 000;320 538 000;388 284 000;317 981 000;330 746 000;355 885 000;306 532 000;83 111 000;23 678 000;78 577 000;68 742 000;109 296 000;68 116 000;141 239 000;-105 169 000
515;1166313093220;29.04.2016;9;18.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;20;20;;;Ликвидировано (18.08.2023).;;104 828 000;129 165 000;129 041 000;;;26 589 000;39 618 000;31 188 000;;;13 393 000;19 035 000;5 724 000;;;103 864 000;128 028 000;128 628 000;;;
516;1212600004870;22.04.2021;4;30.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;35;69;63;58;Прекратило деятельность при разделении (30.09.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";;1 342 369 000;2 630 157 000;5 285 146 000;8 003 659 000;;956 674 000;764 640 000;1 080 071 000;1 555 723 000;;928 670 000;699 342 000;1 014 932 000;1 502 202 000;;1 294 118 000;2 611 887 000;5 252 094 000;7 901 380 000;-11 323 000
517;1181690055557;05.07.2018;7;20.03.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;110;165;302;;;Прекратило деятельность при присоединении (20.03.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";295 633 000;1 718 350 000;2 320 628 000;;;87 190 000;2 874 029 000;1 546 219 000;;;62 664 000;2 832 884 000;1 875 582 000;;;279 028 000;1 602 123 000;2 235 016 000;;;
518;1209100001945;06.02.2020;5;30.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;1;29;30;18;Ликвидировано (30.07.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";;;60 068 000;46 024 000;80 058 000;;24 000;7 545 000;15 589 000;419 000;;;7 016 000;13 884 000;251 000;;;60 068 000;43 685 000;77 819 000;-1 537 000
519;1105321000102;13.01.2010;15;21.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;119;138;152;232;277;Прекратило деятельность при присоединении (21.07.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";878 511 000;1 040 283 000;1 207 998 000;2 287 908 000;2 844 449 000;245 822 000;284 549 000;376 819 000;995 484 000;1 102 638 000;217 942 000;261 887 000;351 401 000;992 754 000;1 093 389 000;872 959 000;1 037 312 000;1 164 884 000;2 216 601 000;2 772 570 000;6 519 000
520;1146952003263;25.02.2014;11;19.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;38;45;48;43;36;Прекратило деятельность при присоединении (19.11.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";305 407 000;394 158 000;409 339 000;430 880 000;;47 065 000;53 179 000;96 165 000;91 013 000;;54 455 000;58 760 000;101 222 000;96 416 000;;304 527 000;393 971 000;409 003 000;423 434 000;;
521;1096673014976;17.12.2009;15;25.08.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;17;;;;Ликвидировано (25.08.2022).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";14 405 000;19 206 000;;;;661 000;759 000;;;;742 000;842 000;;;;13 707 000;18 976 000;;;;
522;1121650019556;26.10.2012;12;30.10.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;36;30;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (30.10.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство"", ""Перечень работодателей, деятельность которых отнесена к категории высокого риска""";146 695 000;117 633 000;;;;24 930 000;13 842 000;;;;32 913 000;20 155 000;;;;143 955 000;111 718 000;;;;
523;1111650003090;03.03.2011;14;05.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;358;40;1;1;;Ликвидировано вследствие банкротства (05.06.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";352 774 000;470 395 000;10 464 000;2 249 000;;471 928 000;276 411 000;130 201 000;111 606 000;;1 124 607 000;845 895 000;835 072 000;816 477 000;;321 152 000;16 489 000;4 000;;;
524;5117746048250;22.12.2011;13;01.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;56;61;70;35;;Ликвидировано (01.02.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";49 159 000;102 770 000;201 569 000;45 337 000;;166 240 000;151 951 000;128 815 000;;;170 543 000;164 554 000;140 669 000;;;49 094 000;97 303 000;201 073 000;38 212 000;;
525;1145835003654;12.09.2014;11;01.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;42;36;4;1;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (01.04.2025).;;49 934 000;76 498 000;13 304 000;2 811 000;0;69 345 000;64 341 000;57 352 000;57 839 000;17 000;56 610 000;18 640 000;11 450 000;12 317 000;;49 692 000;72 533 000;13 264 000;2 795 000;;-45 504 000
526;1177456055831;14.06.2017;8;07.07.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;298;307;114;;;Ликвидировано (07.07.2023).;;596 524 000;755 227 000;234 257 000;;;527 803 000;546 316 000;270 993 000;;;517 556 000;527 499 000;323 772 000;;;595 263 000;751 997 000;177 529 000;;;
527;1141690032274;30.04.2014;11;07.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;126;67;34;;;Ликвидировано вследствие банкротства (07.02.2024).;;3 227 534 000;1 712 574 000;1 840 064 000;;;434 995 000;239 145 000;57 410 000;;;385 953 000;185 869 000;340 000;;;3 227 534 000;1 672 574 000;1 840 064 000;;;
528;1176313111039;20.12.2017;7;14.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;18;16;;;Ликвидировано (14.06.2023).;;6 194 000;7 309 000;12 117 000;;;374 000;432 000;702 000;;;;;;;;6 194 000;7 309 000;12 117 000;;;
529;1149102072129;31.10.2014;10;03.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;32;19;2;2;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (03.07.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";27 755 000;15 107 000;0;;;1 881 000;203 000;58 000;58 000;;3 151 000;250 000;144 000;144 000;;27 631 000;14 294 000;;;;
530;1150280057234;21.09.2015;10;18.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;19;4;1;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (18.02.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";32 510 000;81 425 000;13 029 000;;;2 783 000;3 075 000;183 000;10 000;;2 773 000;3 065 000;173 000;;;32 510 000;81 420 000;13 029 000;;;
531;1097447007734;01.06.2009;16;14.05.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;50;35;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (14.05.2025).;;171 357 000;111 627 000;;;;87 099 000;63 138 000;;;;81 869 000;65 201 000;;;;155 822 000;90 615 000;;;;
532;1097407000305;01.07.2009;16;02.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;36;26;24;19;3;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (02.07.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";45 588 000;43 393 000;45 098 000;48 005 000;7 892 000;10 115 000;7 082 000;7 178 000;9 093 000;3 000;5 993 000;3 733 000;3 736 000;3 700 000;;45 315 000;42 763 000;44 423 000;47 122 000;5 187 000;-5 390 000
533;1108605000240;17.05.2010;15;01.09.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;85;80;;;;Прекратило деятельность при присоединении (01.09.2022).;;586 719 000;740 645 000;;;;263 018 000;230 076 000;;;;158 380 000;115 231 000;;;;532 625 000;740 495 000;;;;
534;1146501002317;09.04.2014;11;17.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;15;3;2;1;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (17.07.2025).;;241 103 000;179 808 000;32 601 000;0;;66 487 000;47 657 000;25 013 000;980 000;980 000;26 293 000;7 116 000;267 000;980 000;980 000;239 505 000;176 604 000;32 508 000;;;
535;1201800017594;16.09.2020;5;06.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;27;53;2;1;Ликвидировано (06.08.2025).;;10 168 000;72 216 000;65 710 000;;;15 118 000;12 618 000;11 793 000;236 000;;8 487 000;4 842 000;6 734 000;2 000;;12 157 000;72 217 000;65 710 000;;;
536;1182724012272;01.06.2018;7;14.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;66;82;77;17;;Ликвидировано вследствие банкротства (14.03.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";127 943 000;188 443 000;173 198 000;;;26 825 000;32 541 000;23 782 000;;;43 716 000;48 690 000;64 439 000;;;124 880 000;168 913 000;173 161 000;;;
537;1177456098885;20.11.2017;7;05.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;58;61;70;45;;Ликвидировано (05.03.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";69 784 000;118 312 000;136 969 000;110 619 000;0;16 894 000;39 238 000;24 345 000;1 653 000;;13 739 000;15 442 000;12 196 000;;;67 882 000;109 277 000;135 486 000;110 107 000;;
538;1152651027320;30.10.2015;9;07.12.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;750;74;;;;Ликвидировано (07.12.2022).;;3 482 058 000;327 327 000;402 000;;;774 706 000;17 620 000;11 915 000;;;589 963 000;98 655 000;132 802 000;;;3 426 147 000;328 144 000;;;;
539;1142723007118;13.11.2014;10;08.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;344;313;310;147;2;Ликвидировано (08.07.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";2 042 691 000;2 298 165 000;2 725 235 000;1 604 994 000;1 007 000;212 037 000;308 115 000;636 610 000;249 405 000;76 000;143 194 000;185 601 000;433 775 000;46 671 000;506 000;2 037 011 000;2 289 857 000;2 713 998 000;1 536 863 000;;-223 000 000
540;1146025000330;03.03.2014;11;16.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;32;21;6;4;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (16.06.2025).;;15 130 000;16 753 000;7 750 000;1 333 000;279 000;8 447 000;9 798 000;4 877 000;3 864 000;;2 995 000;246 000;21 000;14 000;;15 130 000;14 045 000;7 684 000;1 333 000;274 000;-3 850 000
541;1158617005161;03.08.2015;10;10.03.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;56;51;;;;Ликвидировано (10.03.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";39 988 000;41 056 000;8 143 000;;;12 149 000;13 560 000;;;;8 947 000;10 698 000;;;;39 986 000;40 912 000;8 143 000;;;
542;1121690075110;22.10.2012;12;31.03.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;30;19;;;Ликвидировано (31.03.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";163 813 000;133 182 000;87 075 000;;;478 708 000;461 977 000;255 000;;;47 359 000;43 810 000;;;;117 681 000;121 042 000;75 673 000;;;
543;1166196079741;01.06.2016;9;24.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;25;21;1;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (24.01.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";48 520 000;104 690 000;;;;50 540 000;18 784 000;2 511 000;;;40 304 000;18 574 000;6 384 000;;;46 816 000;99 381 000;;;;
544;1132651015628;14.06.2013;12;09.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;4;27;58;57;34;Прекратило деятельность при присоединении (09.07.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";99 348 000;153 969 000;221 052 000;250 305 000;73 854 000;32 021 000;165 957 000;359 271 000;547 898 000;722 518 000;4 580 000;5 623 000;8 259 000;40 289 000;8 241 000;19 516 000;12 338 000;221 052 000;247 547 000;53 951 000;16 329 000
545;1101690056445;08.10.2010;15;22.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;21;20;4;3;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (22.11.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";39 960 000;32 684 000;;;;9 035 000;2 909 000;;2 523 000;;6 374 000;3 358 000;;3 234 000;;39 957 000;27 881 000;;;;
546;1146820001492;07.10.2014;11;27.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;89;87;67;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (27.02.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";94 286 000;89 619 000;85 135 000;;;48 024 000;86 296 000;1 979 000;;;47 564 000;85 614 000;1 203 000;;;80 417 000;80 180 000;72 449 000;;;
547;1177456057910;21.06.2017;8;23.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;55;47;17;14;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (23.05.2024).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";63 526 000;30 892 000;36 735 000;35 560 000;117 000;5 129 000;2 905 000;6 312 000;897 000;;48 000;342 000;162 000;85 000;;63 526 000;30 120 000;36 735 000;35 560 000;;
548;1176027003173;29.03.2017;8;18.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;20;5;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (18.06.2024).;;67 422 000;52 905 000;;;;107 904 000;148 777 000;;;;108 939 000;168 028 000;;;;62 578 000;51 321 000;;;;
549;1116827000938;27.09.2011;14;25.01.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;58;45;2;;;Ликвидировано вследствие банкротства (25.01.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр управляющих организаций""";30 699 000;15 211 000;375 000;;;26 137 000;11 513 000;7 285 000;;;23 342 000;35 268 000;34 100 000;;;29 816 000;13 664 000;335 000;;;
550;1140816005153;31.07.2014;11;18.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;25;28;24;12;11;Прекратило деятельность при присоединении (18.11.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";86 259 000;91 586 000;91 009 000;43 655 000;;21 694 000;39 594 000;57 377 000;58 896 000;;22 507 000;41 116 000;59 192 000;62 378 000;;86 160 000;91 586 000;91 009 000;43 602 000;;
551;1196820004370;23.05.2019;6;15.10.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;30;32;32;32;31;Прекратило деятельность при слиянии (15.10.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";217 546;219 282 000;201 192 000;194 647 000;;24 899 000;24 036 000;25 018 000;38 875 000;;21 836 000;11 886 000;15 067 000;31 273 000;;207 522 000;198 956 000;185 647 000;193 429 000;;
552;1195958042785;26.12.2019;5;17.04.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;32;31;1;;;Прекратило деятельность при присоединении (17.04.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";92 086 000;141 765 000;1 232 000;;;38 853 000;40 539 000;26 784 000;;;10 894 000;4 340 000;2 914 000;;;78 577 000;132 885 000;31 000;;;
553;1157453012683;21.12.2015;9;29.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;31;31;34;37;19;Ликвидировано (29.07.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";249 855 000;328 188 000;487 242 000;520 082 000;287 092 000;150 457 000;164 053 000;200 135 000;179 664 000;2 648 000;144 435 000;153 582 000;169 753 000;144 234 000;2 635 000;248 733 000;324 807 000;486 944 000;519 883 000;283 325 000;6 246 000
554;1149102046862;25.01.2012;13;21.12.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;39;36;1;;;Ликвидировано (21.12.2022).;"""Реестр операторов, осуществляющих обработку персональных данных""";19 858 000;18 077 000;;;;8 790 000;8 212 000;;;;226 000;581 000;;;;19 858 000;18 007 000;;;;
555;1130280018340;26.03.2013;12;23.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;127;124;122;123;109;Ликвидировано (23.09.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";180 681 000;;;468 284 000;1 480 279 000;1 401 732 000;1 473 338 000;1 495 060 000;1 329 735 000;1 600 143 000;1 427 663 000;1 450 860 000;1 440 790 000;1 156 419 000;1 393 310 000;179 186 000;284 475 000;326 140 000;457 408 000;475 209 000;33 517 000
556;1186313023192;19.03.2018;7;22.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;35;40;1;1;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (22.03.2024).;;9 460 000;11 624 000;3 257 000;;;2 775 000;3 675 000;1 919 000;10 000;;650 000;650 000;;;;9 460 000;11 624 000;3 257 000;;;
557;1156186011277;26.05.2015;10;01.12.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;318;304;311;;;Прекратило деятельность при присоединении (01.12.2022).;"""Участник Хартии АПК""";2 840 988 000;1 854 063 000;2 085 244 000;;;4 083 589 000;5 003 011 000;5 908 606 000;;;1 354 825 000;1 393 086 000;1 791 655 000;;;1 966 546 000;1 534 969 000;294 492 000;;;
558;1136914000607;19.07.2013;12;16.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;29;27;27;8;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (16.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";25 239 000;24 655 000;26 902 000;8 031 000;;2 419 000;2 268 000;2 214 000;310 000;;12 214 000;14 126 000;15 895 000;14 422 000;;24 477 000;23 649 000;25 548 000;7 460 000;;
559;1176658079531;15.08.2017;8;11.01.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;98;57;;;;Исключение из ЕГРЮЛ недействующего юридического лица (11.01.2024).;;222 703 000;157 138 000;;;;85 254 000;59 834 000;;;;31 729 000;;;;;221 664 000;155 071 000;;;;
560;1140280409862;23.12.2014;10;04.04.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;43;20;3;;;Ликвидировано (04.04.2023).;;15 198 000;30 201 000;752 000;;;20 460 000;1 771 000;20 000;;;18 535 000;155 000;;;;14 496 000;24 358 000;733 000;;;
561;1131650007829;06.05.2013;12;13.02.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;31;43;46;;;Прекратило деятельность при присоединении (13.02.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";109 156 000;137 664 000;;;;153 228 000;181 802 000;;;;6 889 000;8 971 000;;;;108 425 000;137 034 000;;;;
562;1126182005454;16.10.2012;13;18.11.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;17;14;;;Прекратило деятельность при слиянии (18.11.2022).;;34 971 000;42 046 000;;;;26 218 000;27 696 000;;;;41 873 000;55 678 000;;;;34 196 000;41 061 000;;;;
563;1146182000359;19.02.2014;11;02.08.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;18;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (02.08.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр участников Информационного ресурса Фасилити-операторов""";17 463 000;15 514 000;;;;14 423 000;10 382 000;;;;16 079 000;15 718 000;;;;17 463 000;15 514 000;;;;
564;1156623004560;21.08.2015;10;27.05.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;70;34;1;;;Исключение из ЕГРЮЛ недействующего юридического лица (27.05.2025).;;25 554 000;13 710 000;;;;5 245 000;990 000;;;;1 578 000;166 000;;;;25 554 000;13 684 000;;;;
565;1106193003278;07.06.2010;15;18.11.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;51;53;48;;;Прекратило деятельность при слиянии (18.11.2022).;;218 288 000;256 167 000;;;;148 380 000;175 716 000;;;;124 830 000;103 361 000;;;;206 471 000;253 296 000;;;;
566;1206100017090;22.04.2020;5;22.11.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;14;178;52;;;Ликвидировано (22.11.2022).;;109 249 000;1 349 878 000;;;;92 270 000;126 190 000;;;;92 155 000;124 498 000;;;;109 249 000;1 347 451 000;;;;
567;1112511004407;04.07.2011;14;27.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;36;39;4;3;1;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (27.06.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";131 513 000;187 857 000;589 000;82 000;0;18 717 000;10 976 000;8 623 000;795 000;206 000;8 224 000;402 000;;;;131 061 000;183 146 000;589 000;82 000;;-189 000
568;1091690060186;01.12.2009;15;12.01.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;21;15;7;;;Прекратило деятельность при присоединении (12.01.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";35 538 000;21 136 000;;;;351 488 000;246 225 000;;;;307 840 000;209 966 000;;;;35 352 000;20 572 000;;;;
