№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
1 286;1197847218865;05.11.2019;5;27.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;22;18;20;;Исключение из ЕГРЮЛ недействующего юридического лица (27.06.2025).;;52 172 000;67 285 000;58 517 000;;;30 899 000;24 273 000;22 580 000;;;30 911 000;24 024 000;21 182 000;;;52 077 000;67 285 000;58 514 000;;;
1 287;1205700001605;13.03.2020;5;29.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;23;26;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (29.09.2025).;;;63 605 000;105 401 000;;;4 000;15 319 000;35 019 000;;;87 000;14 065 000;30 071 000;;;;63 605 000;103 261 000;;;
1 288;1187746964096;27.11.2018;6;26.07.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;26;21;;;;Ликвидировано (26.07.2022).;;850 260 000;758 062 000;;;;157 127 000;149 855 000;;;;153 087 000;137 602 000;;;;850 260 000;758 062 000;;;;
1 289;1157746006549;09.01.2015;10;02.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;18;24;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (02.02.2024).;;201 647 000;229 163 000;;;;29 320 000;56 672 000;;;;26 862 000;53 801 000;;;;201 647 000;226 603 000;;;;
1 290;1167154054320;20.02.2016;9;16.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;10;12;15;17;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (16.10.2025).;;136 681 000;116 060 000;85 984 000;133 849 000;;57 440 000;55 836 000;121 680 000;172 722 000;;55 148 000;54 883 000;121 162 000;172 459 000;;124 698 000;114 706 000;85 984 000;133 820 000;;
1 291;1185275010711;16.02.2018;7;24.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;19;16;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (24.01.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";99 196 000;129 211 000;133 703 000;;;15 538 000;16 265 000;16 526 000;;;7 495 000;6 149 000;2 522 000;;;81 393 000;124 284 000;132 000 000;;;
1 292;1167746317188;30.03.2016;9;01.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;18;18;17;16;3;Ликвидировано (01.11.2024).;;143 584 000;189 430 000;167 313 000;227 909 000;;6 114 000;9 675 000;20 166 000;21 100 000;;1 278 000;4 462 000;9 343 000;2 585 000;;142 890 000;188 779 000;163 704 000;226 580 000;;
1 293;1205400024928;26.05.2020;5;01.07.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;6;73;81;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (01.07.2024).;;36 002 000;188 468 000;277 904 000;;;11 868 000;102 382 000;;;;11 323 000;100 955 000;;;;35 114 000;175 248 000;262 281 000;;;
1 294;1157154007955;20.03.2015;10;06.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;45;50;37;52;49;Прекратило деятельность при присоединении (06.03.2025).;;25 425 000;31 757 000;29 465 000;44 173 000;;6 792 000;10 079 000;17 472 000;21 938 000;;1 089 000;533 000;504 000;377 000;;25 425 000;31 757 000;29 465 000;44 173 000;;
1 295;1197746754171;27.12.2019;5;20.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;10;27;29;17;;Прекратило деятельность при присоединении (20.06.2024).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";2 698 000;37 837 000;319 085 000;73 880 000;;87 581 000;522 798 000;390 807 000;245 247 000;;25 936 000;194 644 000;207 658 000;297 351 000;;;34 025 000;318 353 000;73 652 000;;
1 296;1142540003616;05.05.2014;11;15.12.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;15;2;;;Ликвидировано (15.12.2022).;;104 411 000;94 118 000;;;;6 147 000;12 751 000;;;;2 315 000;574 000;;;;104 411 000;94 118 000;;;;
1 297;1196196011362;14.03.2019;6;20.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;30;32;2;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (20.09.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";89 818 000;151 516 000;139 288 000;8 695 000;;33 475 000;54 807 000;37 815 000;3 822 000;;17 813 000;29 272 000;6 671 000;79 000;;89 780 000;151 507 000;139 285 000;4 038 000;;
1 298;1207700473056;11.12.2020;4;24.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;25;49;56;84;Ликвидировано (24.09.2025).;;;30 838 000;51 198 000;99 625 000;144 927 000;;6 544 000;8 960 000;5 272 000;33 878 000;;246 000;16 923 000;10 527 000;12 600 000;;30 648 000;49 869 000;99 614 000;144 900 000;26 533 000
1 299;1183328006410;22.05.2018;7;07.07.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;23;30;2;;Ликвидировано (07.07.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";113 280 000;104 122 000;81 178 000;;;22 012 000;21 681 000;4 192 000;;;8 256 000;4 758 000;1 382 000;;;112 720 000;104 122 000;81 178 000;;;
1 300;1205600014091;21.12.2020;4;04.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;1;22;22;;Ликвидировано (04.03.2024).;;;;119 789 000;157 632 000;;;10 000;19 434 000;10 000;10 000;;;19 078 000;;;;;119 720 000;157 611 000;;
1 301;1116182001539;16.06.2011;14;05.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;21;16;5;;;Ликвидировано (05.02.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";11 173 000;51 545 000;605 000;153 000;;4 203 000;9 495 000;634 000;456 000;;3 243 000;1 359 000;29 000;;;10 355 000;49 303 000;605 000;;;
1 302;1207700106657;10.03.2020;5;28.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;11;237;49;9;;Ликвидировано (28.12.2024).;;7 284 000;308 429 000;82 617 000;12 966 000;;4 655 000;149 590 000;155 208 000;3 077 000;;3 989 000;147 677 000;152 561 000;414 000;;7 284 000;308 172 000;81 328 000;12 966 000;;
1 303;1155024003287;07.05.2015;10;07.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;22;32;23;18;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (07.11.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";115 430 000;199 615 000;211 599 000;217 827 000;167 819 000;6 713 000;56 255 000;171 955 000;104 790 000;;3 396 000;17 684 000;14 316 000;2 427 000;;115 430 000;199 615 000;209 150 000;200 975 000;;
1 304;1155024003276;07.05.2015;10;25.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;31;22;14;8;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (25.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";121 584 000;199 836 000;216 839 000;236 159 000;143 692 000;16 047 000;60 955 000;201 864 000;319 542 000;;4 806 000;30 674 000;82 305 000;4 747 000;;121 584 000;199 836 000;214 575 000;218 622 000;;
1 305;1155024001802;02.03.2015;10;26.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;26;21;18;;Ликвидировано (26.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";117 078 000;199 761 000;218 054 000;243 726 000;;2 353 000;69 103 000;124 002 000;120 932 000;;25 917 000;74 180 000;63 806 000;1 775 000;;117 078 000;199 761 000;217 059 000;227 095 000;;
