№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
702;1105836002227;21.04.2010;15;11.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;26;25;19;14;7;Ликвидировано (11.09.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";28 753 000;27 339 000;18 315 000;13 376 000;6 398 000;7 096 000;5 405 000;2 722 000;1 693 000;1 377 000;1 048 000;788 000;278 000;358 000;315 000;28 731 000;27 325 000;18 313 000;13 376 000;6 398 000;1 525 000
703;1146670008430;23.05.2014;11;26.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;26;59;11;7;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (26.09.2025).;;304 510 000;596 368 000;651 163 000;1 448 847 000;;1 292 978 000;772 519 000;526 264 000;517 731 000;;1 292 334 000;771 778 000;525 537 000;516 932 000;;304 481 000;266 468 000;651 004 000;1 436 516 000;;
704;1197746451033;16.07.2019;6;04.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;17;7;;;Ликвидировано (04.12.2023).;;203 774 000;338 673 000;164 705 000;;;135 168 000;167 953 000;93 347 000;;;101 322 000;133 687 000;57 011 000;;;203 194 000;335 749 000;161 365 000;;;
705;1192468035540;21.10.2019;5;01.08.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;28;15;;;;Ликвидировано (01.08.2022).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";178 065 000;50 700 000;;;;22 506 000;11 153 000;;;;10 637 000;7 902 000;;;;177 705 000;50 398 000;;;;
706;1135018006056;22.05.2013;12;09.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;22;22;20;4;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (09.10.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий"", ""Реестр субъектов малого и среднего предпринимательства (Дата включения 01.08.2016, Категория: Малое предприятие)""";25 957 000;39 113 000;39 582 000;;;49 183 000;54 840 000;50 917 000;;;43 959 000;38 484 000;21 858 000;;;25 895 000;37 816 000;38 414 000;;;
707;1197456057479;30.12.2019;5;09.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;30;37;5;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (09.09.2024).;;18 287 000;5 787 000;2 000;;;53 074 000;43 590 000;6 131 000;;;15 271 000;;2 979 000;;;6 977 000;;;;;
708;1193443010727;26.08.2019;6;13.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;33;43;37;35;;Ликвидировано вследствие банкротства (13.06.2024).;;134 592 000;178 924 000;239 399 000;;;20 916 000;52 709 000;24 087 000;;;17 554 000;48 122 000;16 739 000;;;134 592 000;178 924 000;239 399 000;;;
709;1162468118922;17.11.2016;8;25.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;18;16;11;4;Ликвидировано (25.04.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";8 257 000;14 058 000;12 577 000;4 551 000;6 000;3 611 000;2 731 000;2 388 000;2 184 000;288 000;18 140 000;19 821 000;22 515 000;36 865 000;9 000;8 178 000;14 058 000;12 577 000;4 551 000;6 000;-7 239 000
710;1187746479140;15.05.2018;7;21.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;21;15;;;Ликвидировано (21.03.2024).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";9 002 000;11 404 000;11 851 000;5 030 000;;2 845 000;5 066 000;679 000;60 000;;7 011 000;8 869 000;5 313 000;;;4 151 000;6 343 000;4 341 000;;;
711;1205000027528;18.03.2020;5;08.02.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;44;78;39;;;Ликвидировано (08.02.2023).;;29 874 000;;;;;5 439 000;10 483 000;;;;5 974 000;8 594 000;;;;29 874 000;60 850 000;;;;
712;1143668046015;16.09.2014;11;06.05.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;50;54;47;18;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (06.05.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";24 679 000;21 154 000;17 980 000;10 823 000;;7 193 000;7 220 000;4 784 000;898 000;;2 266 000;4 243 000;5 789 000;4 876 000;;24 679 000;21 135 000;17 968 000;10 727 000;;
713;1107746611796;03.08.2010;15;11.01.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;25;30;;;;Ликвидировано (11.01.2023).;;60 005 000;80 996 000;;;;40 205 000;49 211 000;;;;6 294 000;1 573 000;;;;59 954 000;80 941 000;;;;
714;1175024013845;14.04.2017;8;03.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;32;8;;;Ликвидировано вследствие банкротства (03.05.2024).;;87 448 000;79 803 000;89 748 000;29 000;;59 950 000;57 755 000;562 000;346 000;;57 707 000;55 885 000;674 000;974 000;;86 981 000;79 801 000;22 411 000;23 554 000;;
715;1200200050280;02.09.2020;5;25.10.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;22;21;22;22;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (25.10.2024).;;2 604 000;9 643 000;11 118 000;11 826 000;;731 000;829 000;1 263 000;780 000;;651 000;724 000;1 312 000;757 000;;2 604 000;9 643 000;11 118 000;11 826 000;;
716;1197456010740;04.03.2019;6;29.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;26;15;;;;Ликвидировано (29.02.2024).;;18 909 000;10 274 000;0;0;;4 504 000;;1 480 000;;;495 000;;;;;18 909 000;;;;;
717;1105262009291;25.10.2010;14;02.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;17;17;18;14;Ликвидировано (02.07.2025).;;85 949 000;89 027 000;94 581 000;98 878 000;110 479 000;7 228 000;7 562 000;8 019 000;8 436 000;1 342 000;690 000;688 000;51 000;728 000;1 221 000;85 949 000;89 027 000;94 581 000;98 878 000;110 479 000;102 000
718;1167746643679;08.07.2016;9;03.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;43;45;47;43;1;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (03.06.2025).;;37 739 000;45 442 000;55 924 000;52 756 000;13 363 000;134 133 000;184 313 000;242 316 000;237 972 000;2 086 000;123 901 000;171 073 000;218 052 000;218 530 000;1 885 000;37 739 000;45 442 000;55 924 000;52 756 000;13 137 000;-19 127 000
719;1091650002290;03.03.2009;16;27.10.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;30;26;9;;;Прекратило деятельность при присоединении (27.10.2022).;;39 509 000;38 377 000;;;;16 466 000;17 281 000;;;;3 599 000;5 521 000;;;;39 349 000;35 982 000;;;;
720;1091650002300;03.03.2009;16;27.10.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;21;20;8;;;Прекратило деятельность при присоединении (27.10.2022).;;24 621 000;27 048 000;;;;10 406 000;16 802 000;;;;2 542 000;7 595 000;;;;22 914 000;24 967 000;;;;
721;1115476024290;03.03.2011;14;20.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;9;21;19;7;1;Ликвидировано (20.11.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";23 814 000;27 530 000;63 961 000;74 135 000;;249 701 000;266 780 000;275 168 000;202 558 000;;86 076 000;102 218 000;73 938 000;6 884 000;;3 952 000;11 371 000;21 937 000;8 387 000;;
722;1138602012988;01.10.2013;12;03.03.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;80;52;38;;;Ликвидировано (03.03.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";55 755 000;38 733 000;45 878 000;;;16 520 000;16 614 000;3 741 000;;;15 144 000;15 030 000;3 505 000;;;53 007 000;36 614 000;27 293 000;;;
723;1138602012812;23.09.2013;12;25.01.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;79;77;59;;;Ликвидировано (25.01.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";54 387 000;51 755 000;;;;11 294 000;9 581 000;359 000;;;9 636 000;7 722 000;2 000;;;53 409 000;51 608 000;;;;
724;1138602013098;07.10.2013;12;16.02.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;76;75;59;;;Ликвидировано (16.02.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";51 621 000;49 473 000;;;;16 732 000;18 866 000;906 000;;;15 260 000;17 168 000;541 000;;;50 557 000;49 191 000;;;;
725;1175476125087;11.12.2017;7;03.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;21;25;16;1;Ликвидировано (03.07.2025).;;13 457 000;13 859 000;14 599 000;8 812 000;0;1 479 000;1 369 000;1 483 000;15 000;;990 000;895 000;1 244 000;5 000;;13 457 000;13 859 000;14 599 000;8 812 000;;-15 000
726;1195476042442;04.06.2019;6;21.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;31;23;14;13;13;Ликвидировано (21.08.2025).;;36 092 000;47 937 000;87 530 000;84 275 000;93 924 000;10 617 000;10 782 000;21 336 000;16 276 000;9 851 000;7 822 000;7 791 000;9 154 000;10 019 000;8 829 000;36 092 000;47 937 000;86 540 000;84 275 000;93 924 000;-5 235 000
727;1207700106404;10.03.2020;5;17.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;26;46;48;2;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (17.01.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";161 660 000;237 637 000;388 868 000;360 809 000;;37 184 000;57 269 000;129 713 000;126 453 000;;26 453 000;29 614 000;57 122 000;24 998 000;;161 646 000;237 586 000;388 820 000;360 723 000;;
728;1183123035853;24.12.2018;6;30.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;84;79;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (30.06.2023).;;669 077 000;647 055 000;;;;276 371 000;168 834 000;;;;271 016 000;148 099 000;;;;631 179 000;587 489 000;;;;
729;1175027019617;27.07.2017;8;26.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;21;16;1;1;1;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (26.06.2025).;;133 653 000;103 934 000;7 906 000;0;;59 971 000;16 008 000;8 852 000;6 718 000;;32 501 000;10 193 000;6 543 000;4 407 000;;127 559 000;98 645 000;1 958 000;;;
730;1186313103371;29.11.2018;6;28.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;38;33;;;;Исключение из ЕГРЮЛ недействующего юридического лица (28.12.2023).;;91 916 000;113 151 000;;;;17 921 000;18 188 000;;;;6 868 000;675 000;;;;91 855 000;112 352 000;;;;
731;1197325004502;25.02.2019;6;15.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;37;47;14;;Ликвидировано (15.12.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";39 898 000;112 701 000;168 774 000;;;25 635 000;135 728 000;197 645 000;;;1 184 000;91 474 000;149 972 000;;;13 610 000;111 962 000;167 241 000;;;
732;1143702030713;24.12.2014;10;13.07.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;19;;;;Ликвидировано (13.07.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";7 042 000;38 000;14 000;;;2 348 000;1 898 000;10 000;;;2 202 000;1 850 000;;;;7 042 000;38 000;14 000;;;
733;1207000006421;27.05.2020;5;13.10.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;12;18;15;12;;Прекратило деятельность при присоединении (13.10.2023).;;3 283 000;9 471 000;9 048 000;;;1 593 000;4 373 000;8 395 000;;;1 507 000;469 000;1 016 000;;;3 282 000;9 241 000;9 048 000;;;
734;1177325013832;19.07.2017;8;21.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;50;49;46;24;;Ликвидировано (21.12.2023).;;105 562 000;124 137 000;110 463 000;;;48 660 000;35 896 000;47 714 000;;;47 993 000;35 102 000;46 896 000;;;103 466 000;86 201 000;110 002 000;;;
735;1203200004754;17.08.2020;5;15.10.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;17;28;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (15.10.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";0;27 002 000;32 467 000;;;54 000;74 368 000;76 205 000;;;65 000;72 819 000;74 552 000;;;;27 002 000;32 467 000;;;
736;1172225033221;25.08.2017;8;07.07.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;28;40;2;;;Ликвидировано (07.07.2023).;;610 331 000;1 332 099 000;37 045 000;;;399 900 000;639 729 000;26 571 000;;;362 377 000;553 668 000;;;;606 113 000;1 331 979 000;9 423 000;;;
737;1197746741851;20.12.2019;5;21.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;13;22;33;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (21.03.2024).;;37 268 000;695 574 000;634 411 000;;;18 402 000;957 060 000;1 630 879 000;;;17 586 000;919 595 000;1 569 892 000;;;37 268 000;695 574 000;634 411 000;;;
738;1177746321235;31.03.2017;8;08.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;36;42;23;;;Ликвидировано (08.08.2023).;"""Получатели поддержки правительства Москвы"", ""Реестр операторов, осуществляющих обработку персональных данных""";1 084 090 000;1 067 637 000;674 899 000;;;900 469 000;509 730 000;380 926 000;;;647 896 000;176 011 000;2 000;;;1 082 722 000;1 067 423 000;670 420 000;;;
739;1137847245832;01.07.2013;12;10.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;29;27;25;20;12;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (10.07.2025).;;20 072 000;14 062 000;16 897 000;14 753 000;4 823 000;20 033 000;16 352 000;16 784 000;10 932 000;7 905 000;1 870 000;1 644 000;3 264 000;502 000;327 000;19 717 000;11 127 000;12 967 000;10 808 000;4 094 000;11 000
740;1143702021891;09.09.2014;11;16.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;52;37;7;11;4;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (16.09.2025).;;85 768 000;55 063 000;12 415 000;6 835 000;795 000;30 282 000;23 732 000;23 759 000;24 507 000;2 853 000;10 802 000;877 000;17 000;33 000;5 000;85 766 000;55 063 000;12 415 000;6 835 000;795 000;61 000
741;1202400024694;16.10.2020;5;14.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;72;75;115;150;92;Ликвидировано (14.01.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";;76 247 000;103 879 000;119 792 000;;;31 677 000;17 943 000;19 286 000;;;29 185 000;14 672 000;14 507 000;;;75 792 000;102 940 000;118 086 000;;
742;1177456066590;27.07.2017;8;31.10.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;24;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (31.10.2023).;;12 119 000;19 062 000;;;;6 896 000;7 596 000;;;;14 298 000;18 235 000;;;;11 776 000;16 727 000;;;;
743;1185835016575;15.11.2018;6;23.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;42;30;27;;;Ликвидировано (23.06.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";13 036 000;13 135 000;13 587 000;200 000;;1 023 000;2 354 000;681 000;;;432 000;240 000;84 000;;;13 023 000;13 132 000;13 586 000;;;
744;5157746093896;26.11.2015;9;07.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;5;7;11;24;28;Прекратило деятельность при присоединении (07.02.2025).;;1 350 012 000;;;7 461 514 000;11 248 049 000;1 233 007 000;4 819 933 000;6 331 259 000;7 551 716 000;10 170 305 000;904 389 000;3 080 763 000;3 347 275 000;3 553 923 000;3 920 724 000;1 349 961 000;6 415 621 000;9 292 578 000;7 447 242 000;11 231 211 000;2 251 788 000
745;5167746315479;10.11.2016;8;18.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;42;60;33;12;11;Прекратило деятельность при присоединении (18.09.2025).;"""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий""";79 048 000;81 829 000;84 983 000;33 078 000;19 840 000;126 215 000;133 657 000;132 808 000;129 778 000;114 287 000;108 608 000;187 907 000;193 539 000;194 467 000;207 877 000;78 732 000;80 640 000;82 751 000;32 946 000;19 415 000;-28 901 000
746;1135038003506;04.06.2013;12;01.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;37;35;53;81;80;Прекратило деятельность при присоединении (01.10.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий"", ""Реестр субъектов малого и среднего предпринимательства (Дата включения 01.08.2016, Категория: Малое предприятие)""";118 181 000;398 250 000;638 965 000;1 130 341 000;1 379 443 000;68 059 000;116 441 000;346 759 000;717 205 000;952 277 000;67 586 000;71 507 000;272 505 000;644 739 000;879 215 000;113 212 000;387 561 000;625 238 000;1 122 463 000;1 353 435 000;97 000
747;1203700011063;23.06.2020;5;15.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;37;46;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (15.10.2025).;;130 000;47 917 000;66 550 000;;;27 000;2 643 000;12 196 000;;;;2 434 000;11 688 000;;;130 000;47 917 000;66 550 000;;;
748;1197746295075;29.04.2019;6;29.04.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;272;261;;;;Прекратило деятельность при присоединении (29.04.2022).;;1 299 939 000;5 362 881 000;;;;1 815 678 000;4 597 632 000;;;;493 011 000;4 510 308 000;;;;1 035 712 000;4 344 878 000;;;;
749;1180280045615;03.08.2018;7;17.02.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;37;25;;;;Ликвидировано (17.02.2022).;;11 930 000;21 750 000;;;;32 000;220 000;;;;20 000;1 000;;;;11 930 000;21 750 000;;;;
750;1183525027157;01.08.2018;7;29.06.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;49;37;;;;Ликвидировано (29.06.2022).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";436 915 000;201 019 000;;;;328 483 000;16 936 000;;;;86 589 000;8 919 000;;;;436 889 000;195 821 000;;;;
751;1194027000584;18.01.2019;6;16.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;21;19;1;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (16.10.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";88 390 000;91 409 000;171 111 000;62 069 000;;15 630 000;33 284 000;47 454 000;45 207 000;;14 650 000;31 671 000;45 272 000;42 958 000;;86 845 000;90 885 000;164 849 000;62 058 000;;
752;1125476096063;18.06.2012;13;18.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;17;16;14;12;Прекратило деятельность при присоединении (18.03.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";88 140 000;102 871 000;105 466 000;90 576 000;88 292 000;14 764 000;24 116 000;26 450 000;26 560 000;21 295 000;15 890 000;18 160 000;16 081 000;13 683 000;10 389 000;83 335 000;95 819 000;100 200 000;88 036 000;88 114 000;-1 707 000
753;1177746051042;24.01.2017;8;24.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;27;28;;;;Прекратило деятельность при присоединении (24.05.2024).;;238 260 000;155 773 000;;;;237 416 000;326 971 000;;;;235 550 000;320 840 000;;;;235 426 000;145 959 000;;;;
754;5157746072215;20.11.2015;9;25.07.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;15;14;14;;Прекратило деятельность при присоединении (25.07.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";53 771 000;58 150 000;66 992 000;;;16 443 000;20 512 000;29 877 000;;;4 991 000;17 288 000;24 884 000;;;53 539 000;47 002 000;46 923 000;;;
755;1207700320629;02.09.2020;5;22.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;36;50;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (22.05.2024).;;;61 128 000;;;;200 000;25 060 000;;;;;32 467 000;;;;;61 128 000;;;;
756;1121841004900;10.07.2012;13;03.05.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;31;31;40;;;Прекратило деятельность при присоединении (03.05.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";76 560 000;79 661 000;108 731 000;;;27 684 000;33 319 000;45 770 000;;;7 549 000;13 096 000;13 620 000;;;75 139 000;74 068 000;108 400 000;;;
757;1133926025793;01.07.2013;12;10.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;23;17;18;19;Прекратило деятельность при присоединении (10.10.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр субъектов малого и среднего предпринимательства (Дата включения 01.08.2016, Категория: Малое предприятие)""";265 310;223 641 000;144 296 000;227 040 000;230 050 000;164 734 000;113 704 000;87 584 000;89 259 000;99 652 000;103 156 000;20 063 000;3 572 000;26 011 000;28 789 000;249 249 000;204 690 000;111 214 000;219 032 000;226 638 000;12 166 000
758;1206700010098;03.07.2020;5;20.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;3;152;107;;;Ликвидировано (20.06.2023).;;452 000;94 323 000;70 236 000;;;1 839 000;11 747 000;500 000;;;1 767 000;11 656 000;292 000;;;452 000;94 323 000;70 236 000;;;
759;1177847180390;22.05.2017;8;03.02.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;27;33;28;;;Ликвидировано (03.02.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";150 607;172 149 000;164 650 000;;;134 562 000;166 310 000;99 000;;;121 217 000;150 300 000;;;;150 602 000;170 866 000;164 650 000;;;
760;1153668010495;04.03.2015;10;09.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;17;15;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (09.01.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";87 963 000;115 268 000;35 259 000;;;6 742 000;6 951 000;3 854 000;;;6 329 000;2 687 000;1 608 000;;;87 888 000;115 268 000;35 259 000;;;
761;1141690058245;15.08.2014;11;28.11.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;32;25;27;8;;Ликвидировано (28.11.2023).;;39 022 000;55 333 000;42 361 000;;;2 572 000;4 737 000;17 645 000;;;1 905 000;4 306 000;15 719 000;;;39 022 000;55 333 000;42 361 000;;;
762;1117847457991;26.10.2011;13;13.07.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;35;27;3;;;Ликвидировано (13.07.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";471 338 000;731 799 000;193 099 000;;;212 015 000;285 879 000;9 947 000;;;91 101 000;143 815 000;638 000;;;462 027 000;720 049 000;174 523 000;;;
763;1177847339878;19.10.2017;7;06.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;37;52;26;;;Ликвидировано (06.12.2023).;;130 523 000;114 740 000;47 444 000;;;27 892 000;31 137 000;26 227 000;;;25 425 000;29 801 000;24 658 000;;;130 499 000;114 709 000;40 762 000;;;
764;1157017024086;25.12.2015;9;17.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;19;17;19;19;Прекратило деятельность при присоединении (17.03.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";113 416 000;153 983 000;189 627 000;174 195 000;;361 333 000;493 973 000;646 420 000;771 712 000;784 179 000;1 712 000;2 152 000;3 401 000;2 686 000;4 652 000;96 138 000;135 393 000;167 989 000;136 963 000;;
765;1157746422316;07.05.2015;10;25.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;31;27;21;1;Ликвидировано (25.03.2025).;"""Получатели поддержки правительства Москвы"", ""Реестр операторов, осуществляющих обработку персональных данных""";60 851 000;69 939 000;2 197 730 000;810 801 000;207 216 000;807 155 000;1 169 189 000;1 184 018 000;521 110 000;2 794 000;2 056 166 000;2 615 579 000;758 565 000;144 069 000;;40 631 000;8 475 000;2 447 000;12 500 000;96 000;-374 247 000
766;1207700301380;20.08.2020;5;18.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;30;;32;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных подпунктом «г» пункта 5 статьи 21.1 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (18.03.2025).;;;;;146 779 000;;10 000;10 000;20 000;1 189 000;;;;;360 000;;;;;146 779 000;;
767;1206100029915;07.09.2020;5;26.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;15;22;1;;Ликвидировано (26.06.2024).;;;37 670 000;122 044 000;16 372 000;;10 000;59 000;272 000;10 000;;;;;;;;37 670 000;122 044 000;16 372 000;;
768;1175476120621;27.11.2017;7;29.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;36;26;;;;Исключение из ЕГРЮЛ недействующего юридического лица (29.03.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";84 861 000;52 260 000;;;;57 188 000;75 521 000;;;;55 664 000;73 751 000;;;;84 759 000;52 245 000;;;;
