№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
693;1103525002019;09.02.2010;15;10.11.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;35;18;;;;Ликвидировано вследствие банкротства (10.11.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр управляющих организаций""";16 746 000;;;;;28 839 000;;22 451 000;;;27 201 000;;30 150 000;;;16 746 000;;;;;
694;1137847335493;06.09.2013;12;03.04.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;67;75;30;3;;Ликвидировано вследствие банкротства (03.04.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр управляющих организаций""";149 495 000;195 801 000;96 266 000;;;189 059 000;168 548 000;126 081 000;;;187 300 000;164 075 000;119 365 000;;;148 019 000;178 810 000;77 693 000;;;
695;1153702010692;15.05.2015;10;15.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;41;17;3;;;Ликвидировано (15.08.2023).;;6 151 000;41 876 000;1 976 000;;;651 000;7 009 000;27 000;;;629 000;2 280 000;;;;6 143 000;41 653 000;1 520 000;;;
696;1153702001287;28.01.2015;10;10.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;40;16;4;;;Ликвидировано (10.08.2023).;;8 190 000;49 822 000;2 708 000;;;792 000;7 235 000;16 000;;;652 000;1 635 000;30 000;;;8 163 000;49 767 000;2 175 000;;;
697;1153702023815;09.11.2015;9;11.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;33;25;8;;;Ликвидировано (11.08.2023).;;46 433 000;45 207 000;5 021 000;;;10 020 000;16 001 000;61 000;;;1 767 000;1 833 000;;;;46 293 000;45 142 000;4 880 000;;;
698;1103702001105;26.01.2010;15;11.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;25;38;9;;;Ликвидировано (11.08.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";38 033 000;40 475 000;4 815 000;;;10 877 000;17 876 000;10 000;;;928 000;1 655 000;;;;38 011 000;40 447 000;4 685 000;;;
699;1184205011297;01.06.2018;7;10.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;37;29;14;18;11;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (10.01.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";16 249 000;12 268 000;6 742 000;9 762 000;;2 992 000;2 183 000;1 896 000;2 615 000;;2 940 000;1 557 000;1 260 000;1 940 000;;16 222 000;12 236 000;6 689 000;9 762 000;;
700;1124703013214;21.12.2012;12;21.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;42;40;41;40;37;Прекратило деятельность при присоединении (21.03.2025).;"""Реестр управляющих организаций""";129 800 000;143 992 000;185 821 000;154 374 000;145 580 000;200 340 000;246 090 000;252 936 000;121 787 000;181 583 000;200 330 000;262 502 000;252 118 000;120 548 000;176 438 000;127 919 000;141 204 000;140 073 000;142 207 000;136 056 000;3 905 000
701;1135110000552;07.11.2013;11;18.07.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;16;13;5;;Прекратило деятельность при присоединении (18.07.2024).;;33 898 000;37 300 000;36 076 000;17 748 000;;8 661 000;14 032 000;18 997 000;17 215 000;;4 947 000;6 733 000;8 456 000;5 405 000;;32 680 000;37 289 000;36 076 000;17 675 000;;
702;1165476200955;01.12.2016;8;07.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;15;19;1;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (07.07.2025).;;14 939 000;15 557 000;;;;16 359 000;21 520 000;;;;2 884 000;2 356 000;;;;14 939 000;15 557 000;;;;
703;1153702010626;15.05.2015;10;30.01.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;26;8;;;Ликвидировано (30.01.2024).;;38 519 000;38 471 000;4 782 000;;;15 120 000;17 171 000;38 000;;;8 071 000;2 088 000;14 000;;;38 511 000;38 324 000;4 174 000;;;
704;1175476125109;11.12.2017;7;12.05.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;25;;;;Ликвидировано (12.05.2022).;;21 558 000;15 463 000;;;;5 190 000;501 000;;;;2 943 000;411 000;;;;21 558 000;15 458 000;;;;
